preferred_label,lookup_key,atc_link,atc4,atc4_candidates,atc_exact,atc_candidates,RXCUI,DDINTER,ddinter_similarity
Adrenalina,adrenalina,N01BB53,,C01CA|N01BB,,N01BB53|N01BB58|N01BB52|N01BB03|N01BB02|C01CA24,,,
Adrenalinum,adrenalinum,N01BB58,,N01BB|V03AX,,N01BB58|N01BB51|N01BB01|V03AX,,,
Aethusa Cynapium,aethusa cynapium,V03AX,V03AX,V03AX,V03AX,V03AX,,,
Afamelanotide,afamelanotide,D02BB02,D02BB,D02BB,D02BB02,D02BB02,2262250,,
Afatinib,afatinib,L01EB03,L01EB,L01EB,L01EB03,L01EB03,1430438,DDInter32,1.000000
Aflibercept,aflibercept,S01LA05,,L01XX|S01LA,,S01LA05|L01XX44,1232150,DDInter33,1.000000
Agalsidasi Alfa,agalsidasi alfa,A16AB03,A16AB,A16AB,A16AB03,A16AB03,2691830,,
Agalsidasi Beta,agalsidasi beta,A16AB04,A16AB,A16AB,A16AB04,A16AB04,338817,,
Agni Casti Fructus Extractum Siccum,agni casti fructus extractum siccum,G02CX03,G02CX,G02CX,G02CX03,G02CX03,236664,,
Agnus Castus,agnus castus,V03AX,V03AX,V03AX,V03AX,V03AX,,,
Agomelatina,agomelatina,N06AX22,N06AX,N06AX,N06AX22,N06AX22,,,
Agraphis Nutans,agraphis nutans,V03AX,V03AX,V03AX,V03AX,V03AX,,,
Ailanthus Altissima,ailanthus altissima,V03AX,V03AX,V03AX,V03AX,V03AX,,,
Alanilglutamina,alanilglutamina,B05XB02,B05XB,B05XB,B05XB02,B05XB02,1359422,,
Albendazolo,albendazolo,P02CA03,P02CA,P02CA,P02CA03,P02CA03,430,,
Albumina Umana,albumina umana,B05AA01,B05AA,B05AA,,B05AA01|B05AA02,,,
Albumina Umana Macroaggregati (Macrosalb),albumina umana macroaggregati (macrosalb),V09GA04,V09GA,V09GA,V09GA04,V09GA04,,,
Albumina Umana Macrogrregati,albumina umana macrogrregati,V09EB01,V09EB,V09EB,V09EB01,V09EB01,,,
Albumina Umana Particelle Nanocolloidali,albumina umana particelle nanocolloidali,V09GA04,V09GA,V09GA,V09GA04,V09GA04,,,
Albutrepenonacog Alfa,albutrepenonacog alfa,B02BD04,B02BD,B02BD,B02BD04,B02BD04,1743992,,
Alcinonide,alcinonide,D07AD02,D07AD,D07AD,D07AD02,D07AD02,5084,DDInter851,0.952381
Alcool Benzilico,alcool benzilico,V04CL,V04CL,V04CL,V04CL,V04CL,,,
Aldesleuchina,aldesleuchina,L03AC01,L03AC,L03AC,L03AC01,L03AC01,70223,,
Alectinib,alectinib,L01ED03,L01ED,L01ED,L01ED03,L01ED03,1727455,DDInter39,1.000000
Alemtuzumab,alemtuzumab,L04AG06,L04AG,L04AG,L04AG06,L04AG06,117055,DDInter41,1.000000
Alendronato Sodico,alendronato,M05BA04,M05BA,M05BA,M05BA04,M05BA04,46041,,
Alfa Ketoanaloghi,alfa ketoanaloghi,V06DD,V06DD,V06DD,V06DD,V06DD,,,
Alfa Tocoferolo,alfa tocoferolo,A11HA03,A11HA,A11HA,A11HA03,A11HA03,,,
Alfacalcidolo,alfacalcidolo,A11CC03,A11CC,A11CC,A11CC03,A11CC03,12062,,
Alfuzosina Cloridrato,alfuzosina,G04CA01,G04CA,G04CA,G04CA01,G04CA01,17300,,
Alglucosidasi Acida Umana Ricombinante,alglucosidasi acida umana ricombinante,A16AB07,A16AB,A16AB,A16AB07,A16AB07,629565,,
Alirocumab,alirocumab,C10AX14,C10AX,C10AX,C10AX14,C10AX14,1659152,,
Aliskiren,aliskiren,C09XA02,C09XA,C09XA,C09XA02,C09XA02,325646,DDInter46,1.000000
Alitretinoina,alitretinoina,D11AH04,D11AH,D11AH,D11AH04,D11AH04,81864,,
Alizapride,alizapride,A03FA05,A03FA,A03FA,A03FA05,A03FA05,17311,,
"Allergeni, Veleno Di Insetti","allergeni, veleno di insetti",V01AA07,V01AA,V01AA,V01AA07,V01AA07,,,
Allium Cepa,allium cepa,V03AX,V03AX,V03AX,V03AX,V03AX,,,
Allium Sativum,allium sativum,V03AX,V03AX,V03AX,V03AX,V03AX,,,
Allopurinolo,allopurinolo,M04AA01,M04AA,M04AA,M04AA01,M04AA01,519,DDInter48,0.956522
Almotriptan Idrogenomalato,almotriptan idrogenomalato,N02CC05,N02CC,N02CC,N02CC05,N02CC05,279645,,
Aloe,aloe,V03AX,V03AX,V03AX,V03AX,V03AX,,,
