preferred_label,normalized_label,ATC,atc_link
ALBAFLO,albaflo,H02AB01,H02AB01
ALBATEN,albaten,B01AC23,B01AC23
ALBIOMIN,albiomin,B05AA01,B05AA01
ALBITAL,albital,B05AA01,B05AA01
ALBUMEON,albumeon,B05AA01,B05AA01
ALBUMINA BAXALTA,albumina baxalta,B05AA01,B05AA01
ALBUMINA GRIFOLS,albumina grifols,B05AA01,B05AA01
ALBUMINA LFB,albumina lfb,B05AA01,B05AA01
ALBUMINA UMANA GRIFOLS,albumina umana grifols,B05AA01,B05AA01
ALBUNORM,albunorm,B05AA01,B05AA01
ALBUREX,alburex,B05AA01,B05AA01
ALBUTEIN,albutein,B05AA01,B05AA01
ALCOOL IDROABIETILICO ALLERGEAZE,alcool idroabietilico allergeaze,V04CL,V04CL
ALCOVER,alcover,N07BB49,N07BB49
ALDACTAZIDE,aldactazide,C03EA01,C03EA01
ALDACTONE,aldactone,C03DA01,C03DA01
ALDARA,aldara,D06BB10,D06BB10
ALDOMET,aldomet,C02AB01,C02AB01
ALDUOVIZ,alduoviz,S01ED51,S01ED51
ALDURAZYME,aldurazyme,A16AB05,A16AB05
ALEAST,aleast,R03DC03,R03DC03
ALECENSA,alecensa,L01ED03,L01ED03
ALENDRONATO ALMUS,alendronato almus,M05BA04,M05BA04
ALENDRONATO DOC GENERICI,alendronato doc generici,M05BA04,M05BA04
ALENDRONATO E COLECALCIFEROLO DOC,alendronato e colecalciferolo doc,M05BB03,M05BB03
ALENDRONATO E COLECALCIFEROLO MYLAN PHARMA,alendronato e colecalciferolo mylan pharma,M05BB03,M05BB03
ALENDRONATO E COLECALCIFEROLO SANDOZ BV,alendronato e colecalciferolo sandoz bv,M05BB03,M05BB03
ALENDRONATO E COLECALCIFEROLO TEVA ITALIA,alendronato e colecalciferolo teva italia,M05BB03,M05BB03
ALENDRONATO EG,alendronato eg,M05BA04,M05BA04
ALENDRONATO MYLAN GENERICS,alendronato mylan generics,M05BA04,M05BA04
ALENDRONATO PENSA PHARMA,alendronato pensa pharma,M05BA04,M05BA04
ALENDRONATO PHARMACARE,alendronato pharmacare,M05BA04,M05BA04
ALENDRONATO SANDOZ GMBH,alendronato sandoz gmbh,M05BA04,M05BA04
ALENDRONATO TEVA,alendronato teva,M05BA04,M05BA04
ALENDROS,alendros,M05BA04,M05BA04
ALENIC,alenic,M05BA04,M05BA04
ALFACALCIDOLO DOC,alfacalcidolo doc,A11CC03,A11CC03
ALFACALCIDOLO ZENTIVA,alfacalcidolo zentiva,A11CC03,A11CC03
ALFAFLOR,alfaflor,S01CB04,S01CB04
ALFAPROT,alfaprot,N01AX13,N01AX13
ALFATENDOR,alfatendor,M02AA15,M02AA15
ALFATEX,alfatex,S01CA05,S01CA05
ALFENTANIL PIRAMAL,alfentanil piramal,N01AH02,N01AH02
ALFUZOSINA AUROBINDO,alfuzosina aurobindo,G04CA01,G04CA01
ALFUZOSINA DOC GENERICI,alfuzosina doc generici,G04CA01,G04CA01
ALFUZOSINA EG,alfuzosina eg,G04CA01,G04CA01
ALFUZOSINA HEXAL,alfuzosina hexal,G04CA01,G04CA01
ALFUZOSINA MYLAN GENERICS,alfuzosina mylan generics,G04CA01,G04CA01
ALFUZOSINA PENSA,alfuzosina pensa,G04CA01,G04CA01
ALFUZOSINA RATIOPHARM,alfuzosina ratiopharm,G04CA01,G04CA01
ALFUZOSINA SANDOZ,alfuzosina sandoz,G04CA01,G04CA01
ALFUZOSINA ZENTIVA,alfuzosina zentiva,G04CA01,G04CA01
ALGHEDON,alghedon,N02AB03,N02AB03
ALGIDRIN,algidrin,M01AE01,M01AE01
ALGIX,algix,M01AH05,M01AH05
ALGOFEN,algofen,M01AE01,M01AE01
ALGOLIDER,algolider,M01AX17,M01AX17
ALGOPIRINA,algopirina,N02BE51,N02BE51
ALGOPIRINA FEBBRE E DOLORE,algopirina febbre e dolore,M01AE01,M01AE01
ALGOPIRINDOL,algopirindol,M01AE01,M01AE01
ALGOVIS,algovis,V03AX,V03AX
ALHEMO,alhemo,B02BX10,B02BX10
ALIFLUS,aliflus,R03AK06,R03AK06
ALIKRES,alikres,N06AX21,N06AX21
ALIMTA,alimta,L01BA04,L01BA04
ALITRECARE,alitrecare,D11AH04,D11AH04
ALKAEFFER,alkaeffer,N02BA51,N02BA51
ALKERAN,alkeran,L01AA03,L01AA03
ALKET,alket,M01AE03,M01AE03
ALKINDI,alkindi,H02AB09,H02AB09
ALLERGAN,allergan,D04AA32,D04AA32
ALLERGODIL,allergodil,R01AC03|S01GX07,
ALLESPRAY,allespray,R01AC03,R01AC03
ALLGRAM,allgram,J01MA12,J01MA12
ALLI,alli,A08AB01,A08AB01
ALLIUM CEPA,allium cepa,V03AX,V03AX
ALLIUM CEPA DYNAMIS,allium cepa dynamis,V03AX,V03AX
ALLIUM SATIVUM,allium sativum,V03AX,V03AX
ALLIUM SATIVUM DYNAMIS,allium sativum dynamis,V03AX,V03AX
ALLIUR,alliur,V03AX,V03AX
ALLOPURINOLO ACCORD,allopurinolo accord,M04AA01,M04AA01
