ddinter_id_1,ddinter_id_2,source,severity,description
DDInter100,DDInter57,DDInter,Moderate,DDInter moderate interaction between Altretamine and Anthrax vaccine.
DDInter100,DDInter578,DDInter,Moderate,DDInter moderate interaction between Docetaxel and Anthrax vaccine.
DDInter100,DDInter596,DDInter,Moderate,DDInter moderate interaction between Doxorubicin and Anthrax vaccine.
DDInter100,DDInter597,DDInter,Moderate,DDInter moderate interaction between Doxorubicin (liposomal) and Anthrax vaccine.
DDInter100,DDInter610,DDInter,Moderate,DDInter moderate interaction between Anthrax vaccine and Durvalumab.
DDInter100,DDInter623,DDInter,Moderate,DDInter moderate interaction between Efalizumab and Anthrax vaccine.
DDInter100,DDInter630,DDInter,Moderate,DDInter moderate interaction between Elotuzumab and Anthrax vaccine.
DDInter100,DDInter655,DDInter,Moderate,DDInter moderate interaction between Epirubicin and Anthrax vaccine.
DDInter100,DDInter666,DDInter,Moderate,DDInter moderate interaction between Eribulin and Anthrax vaccine.
DDInter100,DDInter687,DDInter,Moderate,DDInter moderate interaction between Etanercept and Anthrax vaccine.
DDInter100,DDInter7,DDInter,Moderate,DDInter moderate interaction between Anthrax vaccine and Abemaciclib.
DDInter100,DDInter702,DDInter,Moderate,DDInter moderate interaction between Etoposide and Anthrax vaccine.
DDInter100,DDInter704,DDInter,Moderate,DDInter moderate interaction between Everolimus and Anthrax vaccine.
DDInter100,DDInter737,DDInter,Moderate,DDInter moderate interaction between Fingolimod and Anthrax vaccine.
DDInter100,DDInter742,DDInter,Moderate,DDInter moderate interaction between Floxuridine and Anthrax vaccine.
DDInter100,DDInter745,DDInter,Moderate,DDInter moderate interaction between Fludarabine and Anthrax vaccine.
